          .	Shelter1	Shelter2	Shelter3	Shelter4	Shelter5	Shelter6	Shelter7	Shelter8	Shelter9	Shelter10	Shelter11	Shelter12	Shelter13	Shelter14	Shelter15	Shelter16	Shelter17	Shelter18	Shelter19	Shelter20	Shelter21	Shelter22	Shelter23	Shelter24	Shelter25	Shelter26	Shelter27
Shelter11	13.88	8.22	4.43	4.96	5.65	5.98	3.36	7.25	16	2.8	0	6.48	9.87	0.91	6.25	7.96	6.91	3.43	5.38	6.89	0.39	9.16	4.88	0.72	5	5.37	5.65
Shelter12	18.83	11.3	7.67	11.27	7.86	4.73	3.51	11.84	20.96	7.91	6.48	0	7.54	7.28	12	14.28	13.22	9.69	6.86	13.21	6.85	7.29	10.54	6.73	10.97	10.49	10.77
Shelter13	13.93	6.83	13.16	12.48	13.61	4.9	9.27	8.04	16.06	7.11	9.87	7.54	0	9.3	14.12	15.51	14.46	9.11	4.33	14.41	9.86	1.02	12.85	10.31	12.88	13.34	13.63
Shelter14	13.29	7.63	5.04	4.34	6.25	5.69	4.16	6.66	15.41	2.23	0.91	7.28	9.3	0	5.64	7.35	6.29	2.63	5.29	6.27	0.65	8.59	4.36	1.33	4.39	4.85	5.14
Shelter15	16.05	11.66	5.11	2.74	6.3	11.03	8.81	10.69	18	7	6.25	12	14.12	5.64	0	3.06	2.95	6.53	10.35	3.64	5.93	13.41	2.3	5.63	2.09	2.36	1.93
Shelter16	15.12	12.78	8.12	3.52	9.31	12.9	11.16	11.81	15.47	8.42	7.96	14.28	15.51	7.35	3.06	0	1.27	7.65	11.74	2.52	7.64	14.8	5.31	7.7	4.81	5.37	4.94
Shelter17	14.11	11.73	7.55	2.47	8.74	11.85	10.1	10.76	15.47	7.37	6.91	13.22	14.46	6.29	2.95	1.27	0	6.6	10.69	1.44	6.58	13.75	4.74	6.65	4.08	5.16	4.56
Shelter18	10.77	5.16	7.12	4.62	8.34	7.16	6.68	4.18	12.89	2	3.43	9.69	9.11	2.63	6.53	7.65	6.6	0	5.36	6.18	3.19	8.4	5.36	3.85	5.3	5.85	6.06
Shelter19	13.78	5.37	9.42	8.71	10.63	2.49	6.02	5.91	15.91	3.36	5.38	6.86	4.33	5.29	10.35	11.74	10.69	5.36	0	10.64	5.45	3.61	9.07	6.01	9.1	9.57	9.86
Shelter20	13.57	11.31	7.76	2.42	8.96	11.8	10.09	10.34	15.74	7.32	6.89	13.21	14.41	6.27	3.64	2.52	1.44	6.18	10.64	0	6.57	13.7	4.96	6.63	4.22	5.37	4.78
Shelter21	13.84	8.18	4.4	4.63	5.62	6.33	3.73	7.21	15.97	2.78	0.39	6.85	9.86	0.65	5.93	7.64	6.58	3.19	5.45	6.57	0	9.14	4.65	0.7	4.68	5.14	5.44
Shelter22	13.62	6.51	12.44	11.76	13.31	4.2	8.69	7.72	15.74	6.4	9.16	7.29	1.02	8.59	13.41	14.8	13.75	8.4	3.61	13.7	9.14	0	12.13	9.59	12.16	12.62	12.92
Shelter23	16.1	10.49	3.64	3.09	4.84	10.11	7.34	9.52	18.23	5.76	4.88	10.54	12.85	4.36	2.3	5.31	4.74	5.36	9.07	4.96	4.65	12.13	0	4.32	1.27	0.55	1.41
Shelter24	14.51	8.85	3.85	4.69	5.06	6.14	3.61	7.88	16.63	3.43	0.72	6.73	10.31	1.33	5.63	7.7	6.65	3.85	6.01	6.63	0.7	9.59	4.32	0	4.38	4.81	5.06
Shelter25	16.04	10.43	4.08	2.5	5.27	9.78	7.78	9.45	18.16	5.78	5	10.97	12.88	4.39	2.09	4.81	4.08	5.3	9.1	4.22	4.68	12.16	1.27	4.38	0	1.69	0.76
Shelter26	16.59	10.98	3.6	3.59	4.79	10.1	7.33	10.01	18.72	6.25	5.37	10.49	13.34	4.85	2.36	5.37	5.16	5.85	9.57	5.37	5.14	12.62	0.55	4.81	1.69	0	1.08
Shelter27	16.8	11.19	3.87	3.26	5.07	10.38	7.61	10.21	18.92	6.54	5.65	10.77	13.63	5.14	1.93	4.94	4.56	6.06	9.86	4.78	5.44	12.92	1.41	5.06	0.76	1.08	0
        
